,date,team1,team2,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7,referee,assistant_1,assistant_2,fourth
0,12.05.2019,Brighton & Hove Albion,Manchester City,Mathew Ryan,Shane Duffy,Bernardo Fernandes da Silva Junior,Lewis Dunk,Bruno Saltor Grau,Anthony Knockaert,Yves Bissouma,Beram Kayal,Pascal Groß,Alireza Jahanbakhsh,Glenn Murray,David Button,Dan Burn,Martín Montoya Torralbo,Gaëtan Bong Songo,Jayson Molumby,Jürgen Locadia,Florin Andone,Ederson Santana de Moraes,Vincent Kompany,Kyle Walker,Aymeric  Laporte,Oleksandr Zinchenko,İlkay Gündoğan,Bernardo Mota Veiga de Carvalho e Silva,David Josué Jiménez Silva,Riyad Mahrez,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Arijanet Murić,John Stones,Nicolás Hernán Otamendi,Danilo Luiz da Silva,Kevin De Bruyne,Leroy Sané,Gabriel Fernando de Jesus,Michael Oliver,Stuart Burt,Simon Bennett,Paul Tierney
1,12.05.2019,Burnley,Arsenal,Tom Heaton,James  Tarkowski,Ben Mee,Matthew Lowton,Charlie Taylor,Jeff Hendrick,Jack Cork,Ashley Westwood,Dwight McNeil,Ashley Barnes,Chris Wood,Joe Hart,Kevin Long,Stephen Ward,Robbie Brady,Johann  Berg Guðmunds­son,Peter Crouch,Matěj Vydra,Bernd Leno,Konstantinos Mavropanos,Stephan Lichtsteiner,Ignacio Monreal Eraso,Shkodran Mustafi,Joseph Willock,Alex Iwobi,Mattéo Guendouzi Olié,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Petr Čech,Laurent Koscielny,Sead Kolašinac,Granit Xhaka,Ainsley Maitland-Niles,Alexandre Lacazette,Edward Nketiah,Mike Dean,Daniel Robathan,Nicholas Hopton,Lee Mason
2,12.05.2019,Crystal Palace,AFC Bournemouth,Vicente Guaita Panadero,Aaron Wan-Bissaka,Patrick  van Aanholt,Martin Kelly,Joel Ward,Andros Townsend,James McArthur,Luka Milivojević,Max  Meyer,Wilfried Zaha,Michy Batshuayi Tunga,Wayne  Hennessey,Nikola Tavares,Jaïro Riedewald,Luke Dreher,Bakary Sako,Connor Wickham,Christian Benteke Liolo,Mark Travers,Jack Simpson,Nathaniel Edwin Clyne,Adam Smith,Steve Cook,Nathan Aké,Jefferson Andrés Lerma Solís,Ryan Fraser,Jordon  Ibe,Callum Wilson,Joshua King,Artur Boruc,Chris Mepham,Emerson Hyndman,Matt Butcher,Kyle Taylor,Sam Surridge,Lys Mousset,Roger East,Harry Lennard,Adrian Holmes,Keith Stroud
3,12.05.2019,Fulham,Newcastle United,Sergio Rico González,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Joe  Bryan,Calum Chambers,Tom Cairney,André-Frank Zambo Anguissa,Kouassi Ryan Sessegnon,Floyd Ayité,Aleksandar Mitrović,Fabricio Martín Agosto Ramírez,Zeze  Steven Sessegnon,Tim Ream,Neeskens Kebano,Luca de la Torre,Ryan Guno Babel,Harvey Elliot,Martin Dúbravka,Jamaal Lascelles,Paul Dummett,Fabian Lukas Schär,Matt Ritchie,Isaac Hayden,Christian  Atsu Twasam,Mohamed Diamé,Jonjo Shelvey,Ayoze Pérez Gutiérrez,José Salomón Rondón Giménez,Karl Darlow,Federico Fernández,Lewis Cass,Ciaran Clark,Kelland Watts,Robert Kenedy Nunes do Nascimento,Yoshinori Muto,Kevin Friend,Constantine Hatzidakis,Matthew Wilkes,Graham Scott
4,12.05.2019,Leicester City,Chelsea,Kasper Schmeichel,Jonny Evans,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Harry Maguire,Youri Tielemans,Marc Albrighton,Onyinye Wilfred Ndidi,Hamza Choudhury,James Maddison,Jamie Vardy,Danny Ward,Wes Morgan,Danny Simpson,Harvey Lewis Barnes,Demarai Gray,Shinji Okazaki,Kelechi Promise Iheanacho,Wilfredo Daniel Caballero,Marcos  Alonso Mendoza,César Azpilicueta Tanco,Davide Zappacosta,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,Ruben Loftus-Cheek,Ross Barkley,Willian Borges da Silva,Pedro Eliezer Rodríguez Ledesma,Gonzalo Gerardo Higuaín,Kepa Arrizabalaga Revuelta,Emerson Palmieri dos Santos,Marc Guehi,Andreas Christensen,Mateo Kovačić,Olivier Giroud,Eden Hazard,Anthony Taylor,Gary Beswick,Darren Cann,Craig Pawson
5,12.05.2019,Liverpool,Wolverhampton Wanderers,Alisson Ramsés Becker,Joël Andre Job Matip,Andrew Robertson,Virgil van Dijk,Trent Alexander-Arnold,Georginio Wijnaldum,Fábio Henrique Tavares,Jordan Brian Henderson,Sadio Mané,Mohamed  Salah Ghaly,Divock Okoth Origi,Simon Mignolet,Joe Gomez,Dejan Lovren,James Philip Milner,Alex Oxlade-Chamberlain,Daniel Andre Sturridge,Xherdan Shaqiri,Rui Pedro dos Santos Patrício,Willy Boly,Conor  Coady,Ryan Bennett,Matt Doherty,Jonathan Castro Otto,Leander Dendoncker,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Max Kilman,Morgan Gibbs-White,Hélder Wander Sousa Azevedo Costa,Ivan Ricardo Neves Abreu Cavaleiro,Adama Traoré Diarra,Martin Atkinson,Lee Betts,Adam Nunn,Stuart Attwell
6,12.05.2019,Manchester United,Cardiff City,David de Gea Quintana,Chris Smalling,Phil Jones,José Diogo Dalot Teixeira,Ashley Young,Andreas Hoelgebaum Pereira,Scott McTominay,Paul Pogba,Mason Greenwood,Jesse Lingard,Marcus Rashford,Sergio Germán Romero,Luis Antonio Valencia Mosquera,Juan Manuel Mata García,Angel Gomes,Frederico Rodrigues Santos,James Garner,Anthony Martial,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Lee Peltier,Leandro Bacuna,Josh Murphy,Aron Einar Gunnarsson,Bobby Reid,Nathaniel Mendez-Laing,Kenneth Dahrup Zohorè,Brian Murphy,Jazz Richards,Greg Cunningham,Kadeem Harris,David Junior Hoilett,Rhys Healey,Danny Ward,Jonathan Moss,Marc Perry,Mick McDonough,Simon Hooper
7,12.05.2019,Southampton,Huddersfield Town,Angus Gunn,Ryan Bertrand,Jan Bednarek,Jack Stephens,Yan Valery,Pierre-Emile Højbjerg,James  Ward-Prowse,Oriol Romeu Vidal,Nathan Redmond,Daniel William John Ings,Shane  Long,Fraser Forster,Matt Targett,Alfie Jones,Mario Lemina,Stuart Armstrong,Joshua Sims,Charlie Austin,Joel Coleman,Tom Smith,Jon Gorenc Stankovič,Christopher Schindler,Terence Kongolo,Juninho Bacuna,Jonathan Hogg,Aaron Mooy,Alex  Pritchard,Isaac Mbenza,Karlan Ahearne-Grant,Jonas Lössl,Demeaco Duhaney,Matty Daly,Aaron Rowe,Adama Diakhaby,Elias Kachunga,Steve Mounié,Lee Probert,Andy Garratt,Mark Scholes,Peter Bankes
8,12.05.2019,Tottenham Hotspur,Everton,Hugo Lloris,Toby Alderweireld,Kyle Walker-Peters,Ben Davies,Eric Dier,Erik Lamela,Christian  Dannemann Eriksen,Moussa Sissoko,Bamidele Alli,Lucas Rodrigues Moura da Silva,Fernando Llorente Torres,Paulo Dino Gazzaniga,Kieran Trippier,Serge Aurier,Oliver Skipp,Victor Wanyama,George Marsh,Vincent Janssen,Jordan Pickford,Michael Keane,Yerry Fernando Mina González,Kurt Happy Zouma,Lucas Digne,Idrissa Gana Gueye,Morgan Schneiderlin,Bernard  Anício Caldeira Duarte,Gylfi Þór Sigurðsson,Theo  Walcott,Cenk Tosun,Maarten Stekelenburg,Jonjoe Kenny,Phil Jagielka,Leighton Baines,Tom Davies,André Filipe Tavares Gomes,Ademola Lookman,Andre Marriner,Scott Ledger,Simon Long,David Coote
9,12.05.2019,Watford,West Ham United,Ben Foster,Christian Kabasele,Craig Cathcart,Francisco Femenía Far,José Holebas,Etienne Capoue,Roberto Maximiliano Pereyra,Abdoulaye Doucouré,Will Hughes,Gerard Deulofeu Lázaro,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Daryl Janmaat,Nathaniel Chalobah,Isaac  Ajayi Success,Andre Gray,Łukasz Fabiański,Issa Diop,Ryan Fredericks,Arthur Masuaku,Fabián Cornelio Balbuena González,Mark Noble,Felipe  Anderson Pereira Gomes,Manuel Lanzini,Michail Antonio,Declan Rice,Marko Arnautović,Adrián San Miguel del Castillo,Angelo Obinze Ogbonna,Pablo Javier Zabaleta Girod,Jack Wilshere,Carlos Alberto Sánchez Moreno,Robert Snodgrass,Javier Hernández Balcázar,Chris Kavanagh,Daniel Cook,Sian Massey,Andy Madley
10,06.05.2019,Manchester City,Leicester City,Ederson Santana de Moraes,Kyle Walker,Vincent Kompany,Aymeric  Laporte,Oleksandr Zinchenko,İlkay Gündoğan,Philip Foden,David Josué Jiménez Silva,Bernardo Mota Veiga de Carvalho e Silva,Raheem Shaquille Sterling,Sergio Leonel Agüero del Castillo,Arijanet Murić,John Stones,Nicolás Hernán Otamendi,Danilo Luiz da Silva,Riyad Mahrez,Leroy Sané,Gabriel Fernando de Jesus,Kasper Schmeichel,Ben Chilwell,Ricardo Domingos Barbosa Pereira,Harry Maguire,Jonny Evans,Onyinye Wilfred Ndidi,Youri Tielemans,Hamza Choudhury,Marc Albrighton,James Maddison,Jamie Vardy,Danny Ward,Christian Fuchs,Wes Morgan,Harvey Lewis Barnes,Demarai Gray,Nampalys Mendy,Kelechi Promise Iheanacho,Mike Dean,Richard West,Daniel Robathan,Lee Mason
11,05.05.2019,Arsenal,Brighton & Hove Albion,Bernd Leno,Shkodran Mustafi,Stephan Lichtsteiner,Ignacio Monreal Eraso,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Lucas Torreira Di Pascua,Mesut Özil,Granit Xhaka,Pierre-Emerick Aubameyang,Alexandre Lacazette,Petr Čech,Sead Kolašinac,Laurent Koscielny,Mohamed Naser Elsayed Elneny,Alex Iwobi,Mattéo Guendouzi Olié,Edward Nketiah,Mathew Ryan,Bruno Saltor Grau,Bernardo Fernandes da Silva Junior,Lewis Dunk,Shane Duffy,Dale Stephens,Yves Bissouma,Pascal Groß,Solomon March,Glenn Murray,Alireza Jahanbakhsh,David Button,Gaëtan Bong Songo,Dan Burn,Beram Kayal,Anthony Knockaert,Jürgen Locadia,Florin Andone,Anthony Taylor,Gary Beswick,Adam Nunn,Graham Scott
12,05.05.2019,Chelsea,Watford,Kepa Arrizabalaga Revuelta,Marcos  Alonso Mendoza,César Azpilicueta Tanco,Andreas Christensen,David Luiz Moreira Marinho,N'Golo Kanté,Mateo Kovačić,Jorge Luiz Frello Filho,Pedro Eliezer Rodríguez Ledesma,Eden Hazard,Gonzalo Gerardo Higuaín,Wilfredo Daniel Caballero,Gary Cahill,Davide Zappacosta,Ross Barkley,Ruben Loftus-Cheek,Olivier Giroud,Willian Borges da Silva,Ben Foster,Francisco Femenía Far,Adrian Mariappa,Craig Cathcart,José Holebas,Abdoulaye Doucouré,Will Hughes,Nathaniel Chalobah,Roberto Maximiliano Pereyra,Troy Deeney,Gerard Deulofeu Lázaro,Heurelho da Silva Gomes,Adam Masina,Daryl Janmaat,Christian Kabasele,Tom Cleverley,Isaac  Ajayi Success,Andre Gray,Paul Tierney,Edward Smart,Adrian Holmes,David Coote
13,05.05.2019,Huddersfield Town,Manchester United,Jonas Lössl,Christopher Schindler,Erik Durm,Terence Kongolo,Chris Löwe,Juninho Bacuna,Jonathan Hogg,Aaron Mooy,Alex  Pritchard,Isaac Mbenza,Karlan Ahearne-Grant,Joel Coleman,Tom Smith,Jon Gorenc Stankovič,Matty Daly,Elias Kachunga,Steve Mounié,Adama Diakhaby,David de Gea Quintana,Phil Jones,Victor Nilsson Lindelöf,Luke Shaw,Ashley Young,Nemanja Matić,Scott McTominay,Paul Pogba,Juan Manuel Mata García,Alexis Alejandro Sánchez Sánchez,Marcus Rashford,Lee Grant,Chris Smalling,José Diogo Dalot Teixeira,Andreas Hoelgebaum Pereira,Ander Herrera Agüera,Frederico Rodrigues Santos,Tahith Chong,Lee Mason,Harry Lennard,Scott Ledger,Mike Dean
14,04.05.2019,Newcastle United,Liverpool,Martin Dúbravka,Javier Manquillo Gaitán,Paul Dummett,Jamaal Lascelles,Fabian Lukas Schär,Matt Ritchie,Isaac Hayden,Sung-Yeung Ki,Christian  Atsu Twasam,Ayoze Pérez Gutiérrez,José Salomón Rondón Giménez,Karl Darlow,Antonio Barreca,Federico Fernández,Jonjo Shelvey,Mohamed Diamé,Robert Kenedy Nunes do Nascimento,Yoshinori Muto,Alisson Ramsés Becker,Dejan Lovren,Virgil van Dijk,Trent Alexander-Arnold,Andrew Robertson,Georginio Wijnaldum,Fábio Henrique Tavares,Jordan Brian Henderson,Daniel Andre Sturridge,Sadio Mané,Mohamed  Salah Ghaly,Simon Mignolet,Joe Gomez,Joël Andre Job Matip,James Philip Milner,Alex Oxlade-Chamberlain,Divock Okoth Origi,Xherdan Shaqiri,Andre Marriner,Lee Betts,Simon Long,Kevin Friend
15,04.05.2019,Cardiff City,Crystal Palace,Neil Leonard Dula Etheridge,Sean Morrison,Lee Peltier,Joe Bennett,Bruno Écuélé Manga,Víctor Camarasa Ferrando,Aron Einar Gunnarsson,Josh Murphy,Bobby Reid,Nathaniel Mendez-Laing,Danny Ward,Brian Murphy,Jazz Richards,Greg Cunningham,Leandro Bacuna,David Junior Hoilett,Kenneth Dahrup Zohorè,Rhys Healey,Vicente Guaita Panadero,Aaron Wan-Bissaka,Martin Kelly,Scott Dann,Joel Ward,Andros Townsend,James McArthur,Luka Milivojević,Wilfried Zaha,Jordan Ayew,Michy Batshuayi Tunga,Wayne  Hennessey,Patrick  van Aanholt,Max  Meyer,Cheikhou Kouyaté,Jaïro Riedewald,Bakary Sako,Connor Wickham,Michael Oliver,Stuart Burt,Simon Bennett,Graham Scott
16,04.05.2019,West Ham United,Southampton,Łukasz Fabiański,Ryan Fredericks,Fabián Cornelio Balbuena González,Arthur Masuaku,Issa Diop,Manuel Lanzini,Grady Diangana,Pedro  Mba Obiang Avomo,Mark Noble,Michail Antonio,Marko Arnautović,Adrián San Miguel del Castillo,Angelo Obinze Ogbonna,Pablo Javier Zabaleta Girod,Carlos Alberto Sánchez Moreno,Jack Wilshere,Javier Hernández Balcázar,Lucas Pérez Martínez,Fraser Forster,Jack Stephens,Yan Valery,Ryan Bertrand,Jan Bednarek,Mohamed Elyounoussi,Stuart Armstrong,Mario Lemina,Pierre-Emile Højbjerg,Shane  Long,Daniel William John Ings,Angus Gunn,Matt Targett,Kayne Ramsey,Nathan Redmond,Oriol Romeu Vidal,James  Ward-Prowse,Charlie Austin,Stuart Attwell,Stephen Child,Constantine Hatzidakis,Martin Atkinson
17,04.05.2019,Wolverhampton Wanderers,Fulham,Rui Pedro dos Santos Patrício,Willy Boly,Conor  Coady,Ryan Bennett,Matt Doherty,Jonathan Castro Otto,Rúben Diogo Da Silva Neves,João Filipe Iria Santos Moutinho,Leander Dendoncker,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,Will Norris,Max Kilman,Rúben Gonçalo Silva Nascimento Vinagre,Morgan Gibbs-White,Hélder Wander Sousa Azevedo Costa,Adama Traoré Diarra,Ivan Ricardo Neves Abreu Cavaleiro,Sergio Rico González,Maxime Le Marchand,Joe  Bryan,Cyrus Christie,Tim Ream,Calum Chambers,André-Frank Zambo Anguissa,Tom Cairney,Kouassi Ryan Sessegnon,Ryan Guno Babel,Aleksandar Mitrović,Fabricio Martín Agosto Ramírez,Håvard Nordtveit,Zeze  Steven Sessegnon,Alfie Mawson,Neeskens Kebano,Floyd Ayité,Harvey Elliot,Jonathan Moss,Marc Perry,Andy Halliday,Chris Kavanagh
18,04.05.2019,AFC Bournemouth,Tottenham Hotspur,Mark Travers,Steve Cook,Nathaniel Edwin Clyne,Adam Smith,Jack Simpson,Nathan Aké,Ryan Fraser,Jefferson Andrés Lerma Solís,Jordon  Ibe,Callum Wilson,Joshua King,Artur Boruc,Chris Mepham,Kyle Taylor,Nnamdi Ofoborh,Emerson Hyndman,Sam Surridge,Lys Mousset,Hugo Lloris,Davinson Sánchez Mina,Kieran Trippier,Danny Rose,Toby Alderweireld,Moussa Sissoko,Christian  Dannemann Eriksen,Eric Dier,Bamidele Alli,Lucas Rodrigues Moura da Silva,Heung-Min Son,Paulo Dino Gazzaniga,Juan Marcos Foyth,Ben Davies,Oliver Skipp,Victor Wanyama,Vincent Janssen,Fernando Llorente Torres,Craig Pawson,Ian Hussin,Darren Cann,Simon Hooper
19,03.05.2019,Everton,Burnley,Jordan Pickford,Kurt Happy Zouma,Lucas Digne,Michael Keane,Séamus Coleman,Morgan Schneiderlin,Idrissa Gana Gueye,Bernard  Anício Caldeira Duarte,Gylfi Þór Sigurðsson,Richarlison de Andrade,Dominic Calvert-Lewin,Maarten Stekelenburg,Leighton Baines,Phil Jagielka,Tom Davies,Theo  Walcott,Ademola Lookman,Cenk Tosun,Tom Heaton,Ben Mee,Matthew Lowton,James  Tarkowski,Charlie Taylor,Johann  Berg Guðmunds­son,Ashley Westwood,Jack Cork,Robbie Brady,Ashley Barnes,Chris Wood,Joe Hart,Kevin Long,Ben Gibson,Jeff Hendrick,Peter Crouch,Dwight McNeil,Matěj Vydra,Chris Kavanagh,Daniel Cook,Mick McDonough,Anthony Taylor
20,28.04.2019,Manchester United,Chelsea,David de Gea Quintana,Ashley Young,Eric Bertrand  Bailly,Victor Nilsson Lindelöf,Luke Shaw,Nemanja Matić,Paul Pogba,Juan Manuel Mata García,Ander Herrera Agüera,Romelu Lukaku Menama,Marcus Rashford,Sergio Germán Romero,Faustino Marcos Alberto Rojo,Matteo Darmian,Andreas Hoelgebaum Pereira,Scott McTominay,Anthony Martial,Alexis Alejandro Sánchez Sánchez,Kepa Arrizabalaga Revuelta,Antonio Rüdiger,Marcos  Alonso Mendoza,David Luiz Moreira Marinho,César Azpilicueta Tanco,Mateo Kovačić,Jorge Luiz Frello Filho,N'Golo Kanté,Eden Hazard,Willian Borges da Silva,Gonzalo Gerardo Higuaín,Wilfredo Daniel Caballero,Andreas Christensen,Davide Zappacosta,Ruben Loftus-Cheek,Ross Barkley,Olivier Giroud,Pedro Eliezer Rodríguez Ledesma,Martin Atkinson,Stephen Child,Lee Betts,Jonathan Moss
21,28.04.2019,Burnley,Manchester City,Tom Heaton,Matthew Lowton,Ben Mee,James  Tarkowski,Charlie Taylor,Jeff Hendrick,Ashley Westwood,Jack Cork,Dwight McNeil,Ashley Barnes,Chris Wood,Joe Hart,Ben Gibson,Kevin Long,Anthony Driscoll-Glennon,Stephen Ward,Johann  Berg Guðmunds­son,Matěj Vydra,Ederson Santana de Moraes,Aymeric  Laporte,Kyle Walker,Vincent Kompany,Oleksandr Zinchenko,David Josué Jiménez Silva,İlkay Gündoğan,Bernardo Mota Veiga de Carvalho e Silva,Leroy Sané,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Arijanet Murić,Danilo Luiz da Silva,Nicolás Hernán Otamendi,John Stones,Philip Foden,Riyad Mahrez,Gabriel Fernando de Jesus,Paul Tierney,Edward Smart,Adrian Holmes,Craig Pawson
22,28.04.2019,Leicester City,Arsenal,Kasper Schmeichel,Jonny Evans,Harry Maguire,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Hamza Choudhury,Marc Albrighton,Youri Tielemans,James Maddison,Onyinye Wilfred Ndidi,Jamie Vardy,Danny Ward,Caglar Söyüncü,Christian Fuchs,Harvey Lewis Barnes,Demarai Gray,Nampalys Mendy,Kelechi Promise Iheanacho,Bernd Leno,Shkodran Mustafi,Sokratis Papastathopoulos,Sead Kolašinac,Ainsley Maitland-Niles,Lucas Torreira Di Pascua,Henrikh Mkhitaryan,Alex Iwobi,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Petr Čech,Konstantinos Mavropanos,Laurent Koscielny,Mohamed Naser Elsayed Elneny,Mattéo Guendouzi Olié,Joseph Willock,Edward Nketiah,Michael Oliver,Stuart Burt,Simon Bennett,Chris Kavanagh
23,27.04.2019,Brighton & Hove Albion,Newcastle United,Mathew Ryan,Lewis Dunk,Shane Duffy,Bernardo Fernandes da Silva Junior,Bruno Saltor Grau,Pascal Groß,Beram Kayal,Dale Stephens,Glenn Murray,José Heriberto Izquierdo Mena,Florin Andone,David Button,Dan Burn,Gaëtan Bong Songo,Anthony Knockaert,Solomon March,Yves Bissouma,Jürgen Locadia,Martin Dúbravka,Federico Fernández,Paul Dummett,Fabian Lukas Schär,Javier Manquillo Gaitán,Matt Ritchie,Isaac Hayden,Christian  Atsu Twasam,Jonjo Shelvey,Ayoze Pérez Gutiérrez,José Salomón Rondón Giménez,Karl Darlow,DeAndre Yedlin,Antonio Barreca,Sung-Yeung Ki,Mohamed Diamé,Robert Kenedy Nunes do Nascimento,Yoshinori Muto,Mike Dean,Ian Hussin,Daniel Robathan,Lee Probert
24,27.04.2019,Crystal Palace,Everton,Vicente Guaita Panadero,Patrick  van Aanholt,Aaron Wan-Bissaka,Scott Dann,Martin Kelly,James McArthur,Cheikhou Kouyaté,Luka Milivojević,Max  Meyer,Wilfried Zaha,Christian Benteke Liolo,Wayne  Hennessey,Joel Ward,Andros Townsend,Jaïro Riedewald,Jordan Ayew,Bakary Sako,Michy Batshuayi Tunga,Jordan Pickford,Kurt Happy Zouma,Michael Keane,Séamus Coleman,Lucas Digne,Morgan Schneiderlin,Idrissa Gana Gueye,Bernard  Anício Caldeira Duarte,Gylfi Þór Sigurðsson,Richarlison de Andrade,Dominic Calvert-Lewin,Maarten Stekelenburg,Leighton Baines,Phil Jagielka,James McCarthy,Ademola Lookman,Theo  Walcott,Cenk Tosun,Lee Mason,Harry Lennard,Andy Halliday,Roger East
25,27.04.2019,Fulham,Cardiff City,Sergio Rico González,Maxime Le Marchand,Denis Odoi,Tim Ream,Joe  Bryan,Calum Chambers,Kouassi Ryan Sessegnon,Tom Cairney,André-Frank Zambo Anguissa,Ryan Guno Babel,Aleksandar Mitrović,Fabricio Martín Agosto Ramírez,Cyrus Christie,Alfie Mawson,Neeskens Kebano,Jean Michaël Seri,Harvey Elliot,Floyd Ayité,Neil Leonard Dula Etheridge,Joe Bennett,Bruno Écuélé Manga,Lee Peltier,Sean Morrison,Víctor Camarasa Ferrando,Leandro Bacuna,Aron Einar Gunnarsson,Nathaniel Mendez-Laing,David Junior Hoilett,El-Hadji Baye Oumar Niasse,Brian Murphy,Jazz Richards,Greg Cunningham,Kadeem Harris,Bobby Reid,Danny Ward,Rhys Healey,Chris Kavanagh,Daniel Cook,Marc Perry,Michael Oliver
26,27.04.2019,Southampton,AFC Bournemouth,Angus Gunn,Ryan Bertrand,Yan Valery,Jan Bednarek,Jack Stephens,James  Ward-Prowse,Oriol Romeu Vidal,Nathan Redmond,Pierre-Emile Højbjerg,Shane  Long,Daniel William John Ings,Fraser Forster,Matt Targett,Kayne Ramsey,Stuart Armstrong,Mario Lemina,Joshua Sims,Charlie Austin,Artur Boruc,Steve Cook,Jack Simpson,Chris Mepham,Nathaniel Edwin Clyne,Nathan Aké,Dan Gosling,Jefferson Andrés Lerma Solís,David Brooks,Callum Wilson,Joshua King,Asmir Begović,Jordon  Ibe,Emerson Hyndman,Ryan Fraser,Dominic Solanke,Sam Surridge,Lys Mousset,Graham Scott,Mick McDonough,Neil Davies,David Coote
27,27.04.2019,Watford,Wolverhampton Wanderers,Ben Foster,Francisco Femenía Far,Adrian Mariappa,Craig Cathcart,José Holebas,Roberto Maximiliano Pereyra,Etienne Capoue,Abdoulaye Doucouré,Will Hughes,Andre Gray,Gerard Deulofeu Lázaro,Heurelho da Silva Gomes,Daryl Janmaat,Adam Masina,Christian Kabasele,Ken Sema,Nathaniel Chalobah,Isaac  Ajayi Success,Rui Pedro dos Santos Patrício,Ryan Bennett,Conor  Coady,Willy Boly,Jonathan Castro Otto,Matt Doherty,Leander Dendoncker,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Morgan Gibbs-White,Romain Saïss,Ivan Ricardo Neves Abreu Cavaleiro,Hélder Wander Sousa Azevedo Costa,Adama Traoré Diarra,Simon Hooper,Darren Cann,Derek Eaton,Andre Marriner
28,27.04.2019,Tottenham Hotspur,West Ham United,Hugo Lloris,Davinson Sánchez Mina,Ben Davies,Toby Alderweireld,Juan Marcos Foyth,Danny Rose,Bamidele Alli,Eric Dier,Heung-Min Son,Lucas Rodrigues Moura da Silva,Christian  Dannemann Eriksen,Paulo Dino Gazzaniga,Kieran Trippier,Kyle Walker-Peters,Victor Wanyama,Oliver Skipp,Vincent Janssen,Fernando Llorente Torres,Łukasz Fabiański,Fabián Cornelio Balbuena González,Issa Diop,Arthur Masuaku,Ryan Fredericks,Michail Antonio,Mark Noble,Felipe  Anderson Pereira Gomes,Robert Snodgrass,Declan Rice,Marko Arnautović,Adrián San Miguel del Castillo,Angelo Obinze Ogbonna,Pablo Javier Zabaleta Girod,Jack Wilshere,Pedro  Mba Obiang Avomo,Javier Hernández Balcázar,Lucas Pérez Martínez,Anthony Taylor,Gary Beswick,Adam Nunn,Jonathan Moss
29,26.04.2019,Liverpool,Huddersfield Town,Alisson Ramsés Becker,Dejan Lovren,Andrew Robertson,Virgil van Dijk,Trent Alexander-Arnold,Jordan Brian Henderson,Naby Deco Keïta,Georginio Wijnaldum,Sadio Mané,Mohamed  Salah Ghaly,Daniel Andre Sturridge,Simon Mignolet,Joe Gomez,Joël Andre Job Matip,Alex Oxlade-Chamberlain,James Philip Milner,Xherdan Shaqiri,Divock Okoth Origi,Jonas Lössl,Christopher Schindler,Erik Durm,Tom Smith,Terence Kongolo,Jon Gorenc Stankovič,Jonathan Hogg,Juninho Bacuna,Isaac Mbenza,Karlan Ahearne-Grant,Steve Mounié,Joel Coleman,Chris Löwe,Mathias Jattah-Njie Jørgensen,Alex  Pritchard,Matty Daly,Elias Kachunga,Adama Diakhaby,Kevin Friend,Constantine Hatzidakis,Matthew Wilkes,Paul Tierney
30,24.04.2019,Manchester United,Manchester City,David de Gea Quintana,Ashley Young,Matteo Darmian,Chris Smalling,Victor Nilsson Lindelöf,Luke Shaw,Paul Pogba,Frederico Rodrigues Santos,Andreas Hoelgebaum Pereira,Jesse Lingard,Marcus Rashford,Sergio Germán Romero,José Diogo Dalot Teixeira,Juan Manuel Mata García,Nemanja Matić,Alexis Alejandro Sánchez Sánchez,Romelu Lukaku Menama,Anthony Martial,Ederson Santana de Moraes,Kyle Walker,Aymeric  Laporte,Vincent Kompany,Oleksandr Zinchenko,Fernando Luiz Rosa,David Josué Jiménez Silva,İlkay Gündoğan,Bernardo Mota Veiga de Carvalho e Silva,Raheem Shaquille Sterling,Sergio Leonel Agüero del Castillo,Arijanet Murić,Nicolás Hernán Otamendi,Danilo Luiz da Silva,Philip Foden,Riyad Mahrez,Gabriel Fernando de Jesus,Leroy Sané,Andre Marriner,Scott Ledger,Simon Long,Craig Pawson
