,date,team1,team2,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7,referee,assistant_1,assistant_2,fourth
65,02.04.2019,Wolverhampton Wanderers,Manchester United,Rui Pedro dos Santos Patrício,Ryan Bennett,Willy Boly,Conor  Coady,Matt Doherty,Rúben Gonçalo Silva Nascimento Vinagre,Leander Dendoncker,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,John Ruddy,Jonathan Castro Otto,Morgan Gibbs-White,Romain Saïss,Hélder Wander Sousa Azevedo Costa,Adama Traoré Diarra,Ivan Ricardo Neves Abreu Cavaleiro,David de Gea Quintana,Ashley Young,Luke Shaw,Chris Smalling,Victor Nilsson Lindelöf,José Diogo Dalot Teixeira,Frederico Rodrigues Santos,Scott McTominay,Paul Pogba,Jesse Lingard,Romelu Lukaku Menama,Sergio Germán Romero,Phil Jones,Faustino Marcos Alberto Rojo,Andreas Hoelgebaum Pereira,Juan Manuel Mata García,Nemanja Matić,Anthony Martial,Mike Dean,Darren Cann,Daniel Robathan,Paul Tierney
66,01.04.2019,Arsenal,Newcastle United,Bernd Leno,Shkodran Mustafi,Sokratis Papastathopoulos,Ignacio Monreal Eraso,Sead Kolašinac,Ainsley Maitland-Niles,Aaron Ramsey,Mattéo Guendouzi Olié,Alex Iwobi,Mesut Özil,Alexandre Lacazette,Petr Čech,Carl Jenkinson,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Denis Suárez Fernández,Edward Nketiah,Pierre-Emerick Aubameyang,Martin Dúbravka,DeAndre Yedlin,Jamaal Lascelles,Paul Dummett,Florian Lejeune,Matt Ritchie,Isaac Hayden,Mohamed Diamé,Miguel Ángel Almirón Rejala,Ayoze Pérez Gutiérrez,José Salomón Rondón Giménez,Karl Darlow,Federico Fernández,Javier Manquillo Gaitán,Robert Kenedy Nunes do Nascimento,Jonjo Shelvey,Sung-Yeung Ki,Yoshinori Muto,Anthony Taylor,Gary Beswick,Adam Nunn,David Coote
67,31.03.2019,Liverpool,Tottenham Hotspur,Alisson Ramsés Becker,Trent Alexander-Arnold,Andrew Robertson,Joël Andre Job Matip,Virgil van Dijk,Jordan Brian Henderson,Georginio Wijnaldum,James Philip Milner,Roberto Firmino Barbosa de Oliveira,Sadio Mané,Mohamed  Salah Ghaly,Simon Mignolet,Dejan Lovren,Naby Deco Keïta,Fábio Henrique Tavares,Adam David Lallana,Xherdan Shaqiri,Divock Okoth Origi,Hugo Lloris,Jan Vertonghen,Toby Alderweireld,Davinson Sánchez Mina,Danny Rose,Kieran Trippier,Moussa Sissoko,Christian  Dannemann Eriksen,Bamidele Alli,Lucas Rodrigues Moura da Silva,Harry Kane,Paulo Dino Gazzaniga,Juan Marcos Foyth,Ben Davies,Heung-Min Son,Victor Wanyama,Oliver Skipp,Fernando Llorente Torres,Martin Atkinson,Stephen Child,Lee Betts,Stuart Attwell
68,31.03.2019,Cardiff City,Chelsea,Neil Leonard Dula Etheridge,Sean Morrison,Joe Bennett,Lee Peltier,Bruno Écuélé Manga,Harry Arter,Aron Einar Gunnarsson,Josh Murphy,Víctor Camarasa Ferrando,David Junior Hoilett,El-Hadji Baye Oumar Niasse,Brian Murphy,Kadeem Harris,Leandro Bacuna,Bobby Reid,Joe Ralls,Kenneth Dahrup Zohorè,Nathaniel Mendez-Laing,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Antonio Rüdiger,Marcos  Alonso Mendoza,David Luiz Moreira Marinho,Mateo Kovačić,Jorge Luiz Frello Filho,Ross Barkley,Willian Borges da Silva,Gonzalo Gerardo Higuaín,Pedro Eliezer Rodríguez Ledesma,Wilfredo Daniel Caballero,Andreas Christensen,Ruben Loftus-Cheek,N'Golo Kanté,Olivier Giroud,Eden Hazard,Callum Hudson-Odoi,Craig Pawson,Edward Smart,Richard West,Andre Marriner
69,30.03.2019,West Ham United,Everton,Łukasz Fabiański,Issa Diop,Angelo Obinze Ogbonna,Pablo Javier Zabaleta Girod,Aaron Cresswell,Manuel Lanzini,Robert Snodgrass,Declan Rice,Pedro  Mba Obiang Avomo,Marko Arnautović,Lucas Pérez Martínez,Adrián San Miguel del Castillo,Arthur Masuaku,Fabián Cornelio Balbuena González,Grady Diangana,Mark Noble,Michail Antonio,Javier Hernández Balcázar,Jordan Pickford,Séamus Coleman,Lucas Digne,Michael Keane,Kurt Happy Zouma,André Filipe Tavares Gomes,Bernard  Anício Caldeira Duarte,Idrissa Gana Gueye,Gylfi Þór Sigurðsson,Richarlison de Andrade,Dominic Calvert-Lewin,Maarten Stekelenburg,Leighton Baines,Phil Jagielka,Tom Davies,Theo  Walcott,Ademola Lookman,Cenk Tosun,Paul Tierney,Scott Ledger,Adrian Holmes,Mike Dean
70,30.03.2019,Brighton & Hove Albion,Southampton,Mathew Ryan,Bernardo Fernandes da Silva Junior,Lewis Dunk,Shane Duffy,Martín Montoya Torralbo,Yves Bissouma,Davy Pröpper,Dale Stephens,Anthony Knockaert,Alireza Jahanbakhsh,Glenn Murray,David Button,Dan Burn,Gaëtan Bong Songo,Beram Kayal,Solomon March,Jürgen Locadia,José Heriberto Izquierdo Mena,Angus Gunn,Ryan Bertrand,Yan Valery,Jan Bednarek,Maya Yoshida,Pierre-Emile Højbjerg,Oriol Romeu Vidal,James  Ward-Prowse,Nathan Redmond,Stuart Armstrong,Daniel William John Ings,Alex McCarthy,Jack Stephens,Matt Targett,Mohamed Elyounoussi,Joshua Sims,Sam Gallagher,Charlie Austin,Michael Oliver,Stuart Burt,Simon Bennett,Graham Scott
71,30.03.2019,Burnley,Wolverhampton Wanderers,Tom Heaton,James  Tarkowski,Ben Mee,Charlie Taylor,Phil Bardsley,Jack Cork,Ashley Westwood,Jeff Hendrick,Dwight McNeil,Chris Wood,Ashley Barnes,Joe Hart,Stephen Ward,Matthew Lowton,Ben Gibson,Robbie Brady,Johann  Berg Guðmunds­son,Matěj Vydra,Rui Pedro dos Santos Patrício,Conor  Coady,Willy Boly,Jonathan Castro Otto,Romain Saïss,João Filipe Iria Santos Moutinho,Leander Dendoncker,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Adama Traoré Diarra,Ivan Ricardo Neves Abreu Cavaleiro,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Max Kilman,Matt Doherty,Morgan Gibbs-White,Raúl Alonso Jiménez Rodríguez,Hélder Wander Sousa Azevedo Costa,Chris Kavanagh,Daniel Cook,Mick McDonough,Jonathan Moss
72,30.03.2019,Crystal Palace,Huddersfield Town,Vicente Guaita Panadero,Aaron Wan-Bissaka,James Tomkins,Scott Dann,Patrick  van Aanholt,Jeffrey  Schlupp,Max  Meyer,Luka Milivojević,Andros Townsend,Wilfried Zaha,Michy Batshuayi Tunga,Wayne  Hennessey,Martin Kelly,Joel Ward,James McArthur,Cheikhou Kouyaté,Christian Benteke Liolo,Jordan Ayew,Ben Hamer,Christopher Schindler,Erik Durm,Tom Smith,Terence Kongolo,Chris Löwe,Juninho Bacuna,Aaron Mooy,Jonathan Hogg,Alex  Pritchard,Karlan Ahearne-Grant,Joel Coleman,Jon Gorenc Stankovič,Florent Hadërgjonaj,Matty Daly,Daniel Williams,Elias Kachunga,Aaron Rowe,Lee Probert,Simon Beck,Andy Garratt,Keith Stroud
73,30.03.2019,Leicester City,AFC Bournemouth,Kasper Schmeichel,Wes Morgan,Ben Chilwell,Jonny Evans,Ricardo Domingos Barbosa Pereira,Youri Tielemans,Onyinye Wilfred Ndidi,James Maddison,Demarai Gray,Harvey Lewis Barnes,Jamie Vardy,Danny Ward,Caglar Söyüncü,Christian Fuchs,Nampalys Mendy,Rachid Ghezzal,Kelechi Promise Iheanacho,Shinji Okazaki,Asmir Begović,Nathan Aké,Chris Mepham,Charlie Daniels,Nathaniel Edwin Clyne,Dan Gosling,Jefferson Andrés Lerma Solís,David Brooks,Ryan Fraser,Joshua King,Callum Wilson,Artur Boruc,Jack Simpson,Diego Rico Salguero,Jordon  Ibe,Junior Stanislas,Lys Mousset,Dominic Solanke,Lee Mason,Harry Lennard,Neil Davies,Craig Pawson
74,30.03.2019,Manchester United,Watford,David de Gea Quintana,Chris Smalling,Phil Jones,Luke Shaw,Ashley Young,Ander Herrera Agüera,Paul Pogba,Juan Manuel Mata García,Nemanja Matić,Anthony Martial,Marcus Rashford,Sergio Germán Romero,Faustino Marcos Alberto Rojo,José Diogo Dalot Teixeira,Jesse Lingard,Andreas Hoelgebaum Pereira,Frederico Rodrigues Santos,Romelu Lukaku Menama,Ben Foster,Miguel Ángel Britos Cabrera,Adam Masina,Daryl Janmaat,Christian Kabasele,Etienne Capoue,Abdoulaye Doucouré,Roberto Maximiliano Pereyra,Will Hughes,Gerard Deulofeu Lázaro,Troy Deeney,Heurelho da Silva Gomes,Craig Cathcart,Francisco Femenía Far,José Holebas,Domingos Quina,Andre Gray,Isaac  Ajayi Success,Stuart Attwell,Constantine Hatzidakis,Simon Long,Anthony Taylor
